Issue ID,Title,Description,Owner,Sprint,Points,Phase,Priority,Dependencies,Labels,Acceptance Criteria
P0-1,Fix compile blockers and critical warnings,Resolve build blockers and reduce critical warning surface,Lead Engineer,Sprint 1,8,Phase 0,High,,roadmap;stability,CI build passes for target frameworks
P0-2,Standardize structured logging and error codes,Implement consistent logging and typed error codes across pipeline stages,Backend Engineer,Sprint 1,5,Phase 0,High,P0-1,roadmap;observability,All stages emit structured logs and actionable error codes
P0-3,Enforce CI quality gates,Add merge blocking checks for build tests and fixture smoke,QA/Automation,Sprint 1,5,Phase 0,High,P0-1,roadmap;ci,PRs fail on gate violations
P0-4,Remove non-determinism from artifacts,Normalize ordering and timestamps in generated outputs,Backend Engineer,Sprint 1,3,Phase 0,Medium,P0-1,roadmap;determinism,Repeated runs on same input produce same artifacts
P1-1,Finalize canonical schema and version marker,Define versioned canonical rule model and schema contract,Lead Engineer,Sprint 2,8,Phase 1,High,P0-1,roadmap;contract,Schema document and version marker are published
P1-2,Add strict boundary validators,Validate canonical payloads at import storage and export boundaries,Backend Engineer,Sprint 2,5,Phase 1,High,P1-1,roadmap;validation,Invalid payloads fail fast with clear diagnostics
P1-3,Create schema migration scaffold,Add migration interfaces and baseline migration test path,Backend Engineer,Sprint 2,3,Phase 1,Medium,P1-1,roadmap;migrations,Migration harness exists with passing baseline tests
P1-4,Build canonical fixture suite,Create golden fixtures for canonical contract behaviors,QA/Automation,Sprint 2,5,Phase 1,High,P1-1|P1-2,roadmap;testing,Golden fixture suite passes in CI
P2-1,Harden STIG/XCCDF adapter,Improve parsing and extract classification metadata into canonical fields,Backend Engineer,Sprint 3,8,Phase 2,High,P1-2,roadmap;formats,Classification extraction tests pass
P2-2,Complete SCAP adapter with OVAL retention,Preserve and map OVAL references without silent data loss,Backend Engineer,Sprint 3,8,Phase 2,High,P1-2,roadmap;formats,SCAP fixtures retain OVAL references end to end
P2-3,Normalize GPO/ADMX adapter,Apply deterministic defaults and compatibility handling for GPO metadata,Backend Engineer,Sprint 4,5,Phase 2,Medium,P1-2,roadmap;formats,GPO adapter fixtures pass with deterministic output
P2-4,Add PowerSTIG mapping validation,Implement traceability checks for mapped and unmapped controls,Backend Engineer,Sprint 4,5,Phase 2,High,P1-2,roadmap;formats,Mapping report lists coverage and gaps
P2-5,Generate compatibility matrix report,Produce CI artifact describing supported lossy and unsupported mappings,QA/Automation,Sprint 4,3,Phase 2,Medium,P2-1|P2-2|P2-3|P2-4,roadmap;compatibility,Compatibility matrix is generated on CI runs
P3-1,Detect identity conflicts,Detect duplicate or contradictory control identity records during integration,Backend Engineer,Sprint 5,5,Phase 3,High,P2-5,roadmap;integration,Conflicts are surfaced with severity and policy action
P3-2,Add atomic writes and recovery checkpoints,Implement crash safe writes and resumable integration checkpoints,Backend Engineer,Sprint 5,5,Phase 3,High,P2-5,roadmap;reliability,Interrupted runs recover without corruption
P3-3,Add round trip integration tests,Test supported import export combinations and document expected lossy fields,QA/Automation,Sprint 5,8,Phase 3,High,P3-1|P3-2,roadmap;testing,Round trip suite passes with explicit known diffs
P4-1,Finalize apply fallbacks and idempotency,Complete apply fallback paths and enforce idempotent execution behavior,Backend Engineer,Sprint 6,8,Phase 4,High,P3-2,roadmap;apply,Repeat apply does not create unintended changes
P4-2,Unify verify outputs,Normalize SCAP Evaluate-STIG and CKL outputs into one report model,Backend Engineer,Sprint 6,8,Phase 4,High,P3-3,roadmap;verify,Unified verify report is generated with source traceability
P4-3,Complete eMASS package outputs,Implement required indexes hash manifests and submission docs,Backend Engineer,Sprint 7,8,Phase 4,High,P4-2,roadmap;export,eMASS structure validator passes
P4-4,Add CI end to end suite,Run import build apply-sim verify export in CI on fixture corpus,QA/Automation,Sprint 7,5,Phase 4,High,P4-1|P4-2|P4-3,roadmap;e2e,E2E suite passes consistently in CI
P5-1,Build project dashboard and review workflow,Implement UI for project creation import and rule triage,Frontend Engineer,Sprint 8,8,Phase 5,High,P4-4,roadmap;ui,Users complete import and review in UI without CLI
P5-2,Build plan dry-run apply UX,Implement status driven workflow for planning dry run and apply,Frontend Engineer,Sprint 8,8,Phase 5,High,P5-1,roadmap;ui,Workflow supports resumable progress states
P5-3,Integrate manual check wizard,Implement manual answer flow and backend persistence integration,Frontend Engineer,Sprint 9,8,Phase 5,High,P5-2,roadmap;ui;manual,Manual answers persist and flow into exports
P5-4,Build evidence workflow UI,Implement evidence linking and review views by control identity,Frontend Engineer,Sprint 9,5,Phase 5,Medium,P5-2,roadmap;ui;evidence,Evidence links are visible and exportable
P6-1,Implement input file process hardening,Apply security controls for input validation and process execution boundaries,Security/Platform,Sprint 10,8,Phase 6,High,P4-4,roadmap;security,Critical hardening checklist items are implemented
P6-2,Enable dependency and supply chain scanning,Add CI security scans and fail builds on critical findings,Security/Platform,Sprint 10,3,Phase 6,High,P0-3,roadmap;security;ci,Critical vulnerability findings block merge
P6-3,Complete auditable event trail,Record who what when why for major workflow operations,Backend Engineer,Sprint 10,5,Phase 6,Medium,P6-1,roadmap;audit,Audit events are complete and queryable
P6-4,Add rollback and destructive action guards,Enforce safety rails and rollback options for risky operations,Backend Engineer,Sprint 10,5,Phase 6,High,P6-1,roadmap;reliability,Rollback flow validated for failure scenarios
P7-1,Run soak tests on mixed corpora,Execute long running stability tests on large multi-format datasets,QA/Automation,Sprint 11,8,Phase 7,High,P4-4|P6-4,roadmap;stability,Soak tests meet defined reliability threshold
P7-2,Build quarterly update regression pack,Create compatibility regression suite and mapping drift alerting,QA/Automation,Sprint 11,5,Phase 7,High,P2-5|P7-1,roadmap;compatibility,Quarterly regression report generated with drift flags
P7-3,Prepare release and upgrade docs,Create release checklist and migration playbook documentation,Lead Engineer,Sprint 12,3,Phase 7,Medium,P7-1|P7-2,roadmap;release,Release package and upgrade docs complete
P7-4,Complete GA sign off review,Run final quality security ops sign-off and publish decision,Lead Engineer,Sprint 12,2,Phase 7,High,P7-3,roadmap;release,All gate owners approve GA checklist
AX-1,Select canonical answerfile format,Choose one answerfile source of truth for testing and docs,Lead Engineer,Sprint 3,2,Answerfile Track,High,P1-1,answerfile;testing,Canonical answerfile decision documented
AX-2,Align templates and README examples,Update templates and examples to match canonical answerfile format,Backend Engineer,Sprint 4,3,Answerfile Track,High,AX-1,answerfile;docs,No mismatch across template locations and README examples
AX-3,Add answerfile schema validation in CI,Validate answerfile fixtures against canonical schema during CI,QA/Automation,Sprint 4,3,Answerfile Track,High,AX-1|AX-2,answerfile;ci,CI fails on answerfile schema mismatch
